Johns, Bjorn 	G-295-M 	Unavco GPS Survey Support
Kanagaratnam, Pannirselvam 	I-346-M 	High resolution ice thickness and plan wave mapping of near-surface layers
Kanatous, Shane B 	B-018-M 	The molecular signals that regulate the ontogeny of aerobic capacity, lipid metabolism and elevated myoglobin concentrations in the skeletal muscles of Weddell seals
Keeling, Ralph 	O-204-P/S 	Changes in atmospheric oxygen (O2), carbon dioxide (CO2), and argon (Ar) concentrations in relation to the carbon cycle and climate
Kemerait, Robert C 	G-078-M 	Dry Valley seismic project
Kennicutt, Mahlon 	B-518-M 	Temporal variability in natural and anthropogenic distrubance of McMurdo Station
Kieber, David J 	B-266-N 	Impact of solar radiation and nutrients on biogeochemical cycling of DMSP and DMS in the Ross Sea
Kiene, Ronald P 	B-002-N 	Impact of solar radiation and nutrients on biogeochemical cycling of DMSP and DMS in the Ross Sea
Kreutz, Karl J 	I-191-M 	Dry Valleys Late Holocene Climate Variability
Kyle, Philip R 	G-081-M 	Mount Erebus Volcano Observatory and Laboratory (MEVOL)
LaBelle, James W 	A-128-S 	Direction-finding measurements of LF/MF/HF auroral radio emissions at South Pole
Lange, Andrew 	A-033-S 	Background Imaging of Cosmic Extragalactic Polarization (BICEP)
Lee, Richard 	B-256-P 	Physiological and molecular mechanisms of stress tolerance in a polar insect
Lessard, Marc R 	A-136-S 	A proposal for the measurement and analysis of Extremely Low Frequency (ELF) waves at South Pole Station
Lessard, Marc R 	A-362-S 	Development of an Autonomous Real-time Remote Observatory (ARRO)
Licht, Kathy J 	G-084-M 	Integrated study of east antarctic ice sheet tills (ISET): Tracers of ice flow and proxies of the ice-covered continental shield
Lyons, W. Berry 	B-420-M 	The role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
MacAyeal, Douglas R 	I-190-M 	Earth's largest icebergs
Madin, Laurence P 	B-307-L 	Salpa thompsoni in the Southern Ocean: Bioenergetics, population dynamics and biogeochemical impact
Manahan, Donal 	B-301-M 	A graduate training program in Antarctica: Integrative biology and adaptation of antarctic marine organisms
Marchant, David R 	G-063-M 	Deducing late neogene antarctica climate from fossil-rich lacustrine sediments in the Dry Valleys
Marsh, Adam G 	B-029-M 	CAREER: Genomic networks for cold-adaptation in embryos of polar marine invertebrates
Martinson, Douglas G 	B-021-L 	Palmer Long Term Ecological Research Project (LTER): Climate migration, ecological response and teleconnections in an ice-dominated environment
Matrai, Patricia 	B-048-P 	Complex molecular to global interactions and feedbacks in the marine DMS cycle
McKnight, Diane M 	B-421-M 	The role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
McPhee, Miles 	O-325-N 	Maud Rise Nonlinear Equation of State Study (MaudNESS)
Measures, Christopher 	B-225-N 	Plankton community structure and iron distribution in the southern Drake Passage
Mende, Stephen B 	A-104-S 	Dayside auroral imaging at South Pole
Miller, Molly B 	G-093-M 	Reconstructing the high latitude permian-triassic: Life, landscapes, and climate recorded in the Allan Hills, South Victoria Land
Mitchell, B. Greg 	B-228-N 	Plankton community structure and iron distribution in the southern Drake Passage and Scotia Sea
Mullins, Jerry L 	G-052-M/P/S 	Geodesy and geospatial data program
Murcray, Frank J 	A-255-M/S 	Infrared measurements of atmospheric composition over Antarctica
Naveen, Ron 	B-086-E 	Long-term data collection at select Antarctic Peninsula visitor sites
Neale, Patrick J 	B-203-N 	Interactive effects of UV and vertical mixing on phytoplankton and bacterioplankton in the Ross Sea
Palo, Scott Edward 	A-284-S 	Dynamics of the antarctic MLT region using ground-based radar and TIMED Instrumentation
Petzel, David Henry 	B-012-M 	Drinking and Na/K-ATPase alpha-subunit isoform expression in antarctic fish
Pitman, Robert L 	B-289-M 	Genetic and photogrammetric investigations of three ecotypes of killer whales in the southern Ross Sea
Ponganis, Paul John 	B-197-M 	Diving physiology and behavior of Emperor penguins
Priscu, John C 	B-195-M 	Microbial diversity and function in the permanently ice-covered lakes of the McMurdo Dry Valleys
Priscu, John C 	B-422-M 	The role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
Putkonen, Jaakko 	G-076-M 	Stability of landscapes and ice sheets in Dry Valleys: A systematic study of exposure ages of soils and surface deposits
Quetin, Langdon B 	B-028-L/P 	Palmer long-term ecological research project: Climate migration, ecological response and teleconnections in an ice-dominated environment (Prey component)
Raymond, Charles F 	I-163-M 	Detection of crystal orientation fabrics near the Ross/Amundsen sea ice-flow divide and at the Siple Dome ice core site using polarimetric radar methods
Saito, Mak A 	O-398-N 	Interactions between Cobalt, Cadmium, and Zinc Biogeochemistry and Phytoplankton Dynamics in the Ross Sea
Sanderson, Colin 	O-275-P/S 	Remote atmospheric measurements program (RAMP) of the University of Miami/ U.S. Department of Energy's Environmental Measurements Lab
Scambos, Theodore 	I-186-E 	Investigating iceberg evolution during drift and break-up: A proxy for climate-related changes to antarctic ice shelves
Sedwick, Peter 	B-267-N 	Interaction of iron, light and CO2 on phytoplankton community dynamics in the Ross Sea
Seo, Eun-Suk 	A-137-M 	Cosmic Ray Energetics And Mass (CREAM)
Siddoway, Christine S 	G-088-M 	Gneiss dome architecture
Sivjee, Gulamabas G 	A-129-S 	The antarctic investigations of upper atmospheric disturbances over the South Pole Station
Smith, Kenneth L 	B-050-L 	Free drifting icebergs: Influence of floating islands on pelagic ecosystems in the Weddell Sea
Smith, Raymond C 	B-032-L/P 	Palmer long-term ecological research project: Climate migration, ecological response and teleconnections in an ice-dominated environment (Bio-optical component)
Smith, Walker O 	B-047-N 	Interannual variability in the Antarctic - Ross Sea (IVARS): Nutrients and seasonal production
Smith, Walker O 	B-386-N 	Interaction of iron, light and CO2 on phytoplankton community dynamics in the Ross Sea
Sowers, Todd 	I-177-M 	Gases in firn air and shallow ice at the proposed WAIS Divide drilling site
Sprintall, Janet 	O-260-L 	The Drake Passage high density XBT/XCTD Program
Stacey, Gordon J 	A-377-S 	Wide-field imaging spectroscopy in the submillimeter: Deploying SPIFI on AST/RO
Stark, Antony A 	A-371-S 	Continued operation of the Antarctic Submillimeter Telescope and Remote Observatory (AST/RO)
Stearns, Charles R 	O-202-M/P/S 	Antarctic Meteorological Research Center (AMRC)
Stearns, Charles R 	O-283-M/P/S 	Antarctic Automatic Weather Station Program (AWS)
Steinmetz, George 	W-222-M 	Antarctica: The frozen desert
Stock, Joann M 	G-071-N 	Collection of marine geophysical data on transits of the Nathaniel B. Palmer
Sullivan, David W 	A-145-M 	Long Duration Balloon Program (LDB)
Takahashi, Taro 	O-214-L/N 	Processes driving spatial and temporal variability of surface pCO2 in the Drake Passage
Tang, Kam Wing 	B-230-M 	Environmental and ecological regulation of differences and interactions between solitary and colonial forms of phaeocystis antarctica
Taylor, Kendrick C 	I-477-M 	Investigation of climate, ice dynamics, and biology, using a deep ice core from the West Antarctic Ice Sheet Ice Divide
Thompson, Linda D 	A-138-M 	Wallops Flight Facility component of the CREAM balloon payload
Tortell, Philippe 	B-282-N 	Interaction of iron, light and CO2 on phytoplankton community dynamics in the Ross Sea
Travouillon, Tony 	A-442-E 	Measurements of the surface layer turbulence at Dome C
Trivelpiece, Wayne Z 	B-040-E 	Foraging behavior and demography of Pygoscelis penguins
Tulaczyk, Slawek M. 	I-345-M 	Is Kamb Ice Stream restarting? Glaciological investigations of the bulge-trunk transition on Kamb Ice Stream
Vernet, Maria 	B-016-L/P 	Palmer long-term ecological research project: Climate migration, ecological response and teleconnections in an ice-dominated environment (Phytoplankton component)
Vial, Francois 	A-360-M 	Strateole-Vorcore
Virginia, Ross A 	B-423-M 	The role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
Wall, Diana H 	B-424-M 	The role of resource legacy on contemporary linkages between biodiversity and ecosystem processes in a cold desert ecosystem: The McMurdo Dry Valley LTER program
Ward, Bess B 	B-310-M 	What limits denitrification and bacterial growth in Lake Bonney, Taylor Valley?
Warren, Gabriel Penn 	W-217-M 	Examination of crevasses and other iceforms as artistic sources
Warren, Joseph 	B-320-E 	RUI: Improving acoustic estimates of Antarctic krill populations
Weatherwax, Allan T 	A-111-M/S 	Studies of the polar ionosphere and magnetosphere from measurements in Antarctica and conjugate regions
Weatherwax, Allan T 	A-112-M/S 	Polar experiment network for geospace upper-atmosphere investigations: PENGUIn -A new vision for global studies
Wefel, John P 	A-143-M 	Advanced Thin Ionization Calorimeter (ATIC)
Wilson, Terry J 	G-079-M 	Transantarctic Mountains deformation network: GPS measurements of neotectonic motion in the antarctic interior
Zesta, Eftyhia 	A-357-M/P 	Extending the South American Meridional B-field Array (SAMBA) to auroral latitudes in Antarctica
Zhou, Meng 	B-248-N 	Plankton community structure and iron distribution in the southern Drake Passage and Scotia Sea 
